id,standing ovation,mean,median,variance,standard deviation,sentence count
2841,0,15.83,13.0,104.89,10.24,189
2666,0,20.63,17.0,319.89,17.89,82
189,0,16.63,14.0,141.53,11.9,155
758,0,18.95,17.0,144.95,12.04,85
3395,0,14.06,12.5,77.41,8.8,140
3381,0,14.8,13.0,90.12,9.49,106
2712,0,14.8,12.0,85.58,9.25,80
3356,0,13.24,12.0,61.92,7.87,45
3801,0,19.37,18.0,121.04,11.0,133
2289,0,25.5,23.5,221.82,14.89,70
3197,0,13.12,12.0,41.46,6.44,56
2510,0,14.97,16.0,68.0,8.25,73
3168,0,21.83,22.0,174.4,13.21,41
1025,0,17.68,16.0,119.92,10.95,101
2538,0,21.48,18.0,197.1,14.04,116
1741,0,16.52,14.0,105.88,10.29,115
1033,0,10.83,10.0,50.93,7.14,162
1755,0,16.25,14.0,117.08,10.82,95
3181,0,15.92,14.0,78.64,8.87,150
2937,0,13.5,8.5,160.69,12.68,150
2089,0,13.36,11.0,75.01,8.66,99
61,0,16.56,14.0,110.38,10.51,174
821,0,27.57,28.0,131.56,11.47,91
2670,0,15.88,14.0,106.65,10.33,149
1386,0,22.3,21.0,91.87,9.59,60
2328,0,15.1,14.0,74.16,8.61,118
2472,0,13.22,9.0,110.66,10.52,67
404,0,16.23,13.0,139.74,11.82,163
2499,0,11.12,9.0,57.1,7.56,300
3976,0,20.48,18.0,135.05,11.62,64
439,0,13.96,11.0,66.06,8.13,198
3962,0,16.87,15.0,105.19,10.26,191
1185,0,18.36,17.0,130.37,11.42,104
3792,0,19.79,17.0,153.43,12.39,163
377,0,14.03,14.0,65.85,8.11,79
1146,0,16.16,11.0,155.16,12.46,75
1634,0,18.98,15.0,166.02,12.88,115
2895,0,33.63,28.0,801.1,28.3,68
1350,0,13.4,11.0,71.82,8.47,133
3382,0,13.46,11.5,68.02,8.25,112
798,0,23.69,19.0,236.42,15.38,32
3816,0,14.55,12.0,105.72,10.28,80
203,0,24.7,17.0,411.54,20.29,105
2507,0,17.05,14.0,130.14,11.41,153
3625,0,19.17,19.0,98.56,9.93,30
2249,0,17.99,17.0,117.72,10.85,153
3609,0,20.97,18.0,211.75,14.55,93
1778,0,17.75,16.0,105.86,10.29,55
2259,0,14.95,11.0,134.99,11.62,169
1787,0,18.4,14.0,196.81,14.03,110
207,0,17.58,14.0,96.07,9.8,57
